iter	Passed	Remaining
0	0	72
1	1	65
2	1	60
3	2	55
4	2	54
5	3	53
6	3	52
7	4	52
8	5	51
9	5	50
10	6	49
11	6	48
12	7	48
13	7	48
14	8	49
15	9	48
16	9	48
17	10	47
18	10	46
19	11	45
20	12	45
21	12	44
22	13	43
23	13	43
24	14	42
25	14	41
26	15	41
27	15	40
28	16	39
29	16	39
30	17	38
31	17	37
32	18	37
33	18	36
34	19	36
35	20	35
36	20	35
37	21	34
38	21	33
39	22	33
40	22	32
41	23	31
42	23	31
43	24	30
44	24	30
45	25	29
46	25	29
47	26	28
48	26	27
49	27	27
50	27	26
51	28	26
52	28	25
53	29	25
54	29	24
55	30	23
56	30	23
57	31	22
58	31	22
59	32	21
60	33	21
61	33	20
62	34	20
63	34	19
64	35	18
65	35	18
66	36	17
67	36	17
68	37	16
69	38	16
70	38	15
71	39	15
72	39	14
73	40	14
74	41	13
75	41	13
76	42	12
77	42	12
78	43	11
79	43	10
80	44	10
81	44	9
82	45	9
83	45	8
84	46	8
85	46	7
86	47	7
87	47	6
88	48	5
89	49	5
90	49	4
91	50	4
92	50	3
93	51	3
94	52	2
95	52	2
96	53	1
97	53	1
98	54	0
99	54	0
